Id,issuercountrycode,txvariantcode,bin,amount,currencycode,shoppercountrycode,shopperinteraction,cardverificationcodesupplied,cvcresponsecode,accountcode,mail_id,ip_id,card_id,label
279,GB,visadebit,475714.0,3807.0,GBP,GB,Ecommerce,True,1,UKAccount,email71444,ip214880,card94151,1
122608,GB,mccredit,518652.0,2635.0,GBP,GB,Ecommerce,True,1,UKAccount,email12044,ip185209,card138150,1
110276,GB,visadebit,453978.0,5695.0,GBP,GB,Ecommerce,True,1,UKAccount,email330623,ip206526,card104092,1
204934,GB,mccredit,529930.0,4195.0,GBP,GB,Ecommerce,True,1,UKAccount,email93884,ip137281,card143097,1
218707,MX,mccredit,544549.0,76900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email137247,ip113462,card239128,1
86297,GB,visadebit,475127.0,5395.0,GBP,GB,Ecommerce,True,1,UKAccount,email332829,ip319437,card26387,1
134456,GB,mccredit,542011.0,6700.0,GBP,GB,Ecommerce,True,1,UKAccount,email174486,ip232710,card131169,1
32580,GB,mccredit,546097.0,5495.0,GBP,GB,Ecommerce,True,1,UKAccount,email186265,ip287541,card114207,1
99723,GB,visagold,492940.0,4500.0,GBP,GB,Ecommerce,True,1,UKAccount,email45560,ip163965,card55199,1
180474,GB,mccredit,529930.0,5240.0,GBP,GB,Ecommerce,True,1,UKAccount,email128988,ip89714,card126054,1
81478,GB,visadebit,476367.0,3395.0,GBP,GB,Ecommerce,True,1,UKAccount,email36663,ip86101,card187652,1
92341,GB,visadebit,446238.0,3100.0,GBP,GB,Ecommerce,True,1,UKAccount,email225516,ip150131,card222264,1
103131,MX,visaclassic,426807.0,109900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email92431,ip82165,card163593,1
28633,GB,visadebit,446291.0,2435.0,GBP,GB,Ecommerce,True,1,UKAccount,email271132,ip43933,card168445,1
57187,GB,visadebit,454313.0,6940.0,GBP,GB,Ecommerce,True,1,UKAccount,email12226,ip248617,card59676,1
32409,MX,mccredit,547046.0,139800.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email71291,ip64404,card213780,1
203231,GB,visadebit,465858.0,4645.0,GBP,GB,Ecommerce,True,1,UKAccount,email127286,ip327766,card166207,1
131517,GB,visadebit,450875.0,1800.0,GBP,GB,Ecommerce,True,1,UKAccount,email159262,ip9223,card8000,1
151069,GB,visadebit,475116.0,3520.0,GBP,GB,Ecommerce,True,1,UKAccount,email207606,ip88262,card94706,1
141244,GB,visadebit,492181.0,5895.0,GBP,GB,Ecommerce,True,1,UKAccount,email262880,ip53002,card211620,1
144161,GB,visadebit,446291.0,2325.0,GBP,GB,Ecommerce,True,1,UKAccount,email156617,ip95398,card131949,1
215097,GB,visagold,492940.0,4315.0,GBP,GB,Ecommerce,True,1,UKAccount,email261349,ip281554,card4976,1
224099,GB,visaplatinum,492912.0,10520.0,GBP,GB,ContAuth,False,0,UKAccount,email114071,ip119284,card119030,1
134979,AU,visadebit,408967.0,12850.0,AUD,AU,Ecommerce,True,0,APACAccount,email318359,ip145426,card48110,1
117815,GB,visadebit,450875.0,31976.0,GBP,GB,Ecommerce,True,1,UKAccount,email92304,ip282949,card18616,1
14699,AU,visa,456409.0,16000.0,AUD,AU,Ecommerce,True,0,APACAccount,email275306,ip5635,card186902,1
179578,SE,mcdebit,522660.0,100900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email109111,ip125707,card78305,1
42011,GB,visadebit,492181.0,5100.0,GBP,GB,Ecommerce,True,1,UKAccount,email71447,ip206191,card152429,1
878,GB,mccredit,542011.0,5500.0,GBP,GB,Ecommerce,True,1,UKAccount,email257692,ip285129,card209777,1
133342,GB,mccredit,545140.0,13000.0,GBP,GB,Ecommerce,True,1,UKAccount,email277876,ip215172,card41585,1
150584,GB,visadebit,498824.0,1600.0,GBP,GB,Ecommerce,True,1,UKAccount,email257143,ip15224,card178233,1
169634,GB,visadebit,446238.0,6200.0,GBP,GB,Ecommerce,True,1,UKAccount,email33374,ip304489,card47670,1
141100,IS,visagold,453985.0,64900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email72929,ip121159,card55299,1
87557,GB,visadebit,475129.0,1895.0,GBP,GB,Ecommerce,True,1,UKAccount,email71744,ip268669,card204678,1
126633,GB,visadebit,465946.0,1775.0,GBP,GB,Ecommerce,True,1,UKAccount,email283415,ip263179,card29442,1
53932,GB,visadebit,453979.0,7695.0,GBP,GB,Ecommerce,,1,UKAccount,email211949,ip190106,card258865,1
27236,AU,mccredit,528013.0,10850.0,AUD,AU,Ecommerce,True,0,APACAccount,email329504,ip513,card95808,1
145763,GB,visadebit,465943.0,4390.0,GBP,GB,Ecommerce,True,1,UKAccount,email50839,ip120423,card17676,1
121045,GB,visadebit,475714.0,2795.0,GBP,GB,Ecommerce,True,1,UKAccount,email330680,ip242005,card4879,1
131152,NZ,visadebit,483561.0,9250.0,NZD,NZ,Ecommerce,True,0,APACAccount,email240002,ip130156,card26715,1
227480,GB,visadebit,492181.0,7895.0,GBP,GB,Ecommerce,True,1,UKAccount,email34271,ip251832,card180516,1
181077,GB,visadebit,492181.0,12000.0,GBP,GB,Ecommerce,True,1,UKAccount,email180621,ip322806,card16401,1
159083,GB,visadebit,475129.0,12000.0,GBP,GB,Ecommerce,True,1,UKAccount,email204377,ip244530,card101289,1
152766,GB,visadebit,465859.0,7095.0,GBP,GB,Ecommerce,True,1,UKAccount,email270182,ip350947,card124614,1
221765,GB,mccredit,552157.0,5095.0,GBP,GB,Ecommerce,True,1,UKAccount,email242712,ip270883,card183812,1
218621,GB,visadebit,475714.0,3030.0,GBP,GB,Ecommerce,True,1,UKAccount,email49572,ip47342,card3274,1
170671,GB,visadebit,453979.0,3195.0,GBP,GB,Ecommerce,True,1,UKAccount,email219588,ip106823,card32679,1
128938,GB,visadebit,475126.0,3195.0,GBP,GB,Ecommerce,True,1,UKAccount,email245659,ip179177,card202944,1
153488,AU,mccredit,535316.0,11050.0,AUD,AU,Ecommerce,True,0,APACAccount,email343274,ip132612,card223228,1
136609,GB,visadebit,465935.0,7000.0,GBP,GB,Ecommerce,True,1,UKAccount,email59197,ip153487,card233618,1
224313,GB,visadebit,498824.0,2500.0,GBP,GB,Ecommerce,True,1,UKAccount,email110878,ip7410,card188292,1
148629,GB,mccredit,543458.0,16050.0,GBP,PE,ContAuth,False,0,UKAccount,email229870,ip85297,card144754,1
233826,AU,visadebit,423953.0,11050.0,AUD,AU,Ecommerce,True,0,APACAccount,email132405,ip114485,card50752,1
146223,SE,mccredit,522767.0,49900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email171328,ip125452,card39016,1
43273,SE,visadebit,455262.0,67900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email187871,ip230079,card20025,1
30084,GB,mccredit,552213.0,1895.0,GBP,GB,Ecommerce,True,1,UKAccount,email184181,ip266013,card80023,1
121038,GB,visadebit,475128.0,6090.0,GBP,GB,Ecommerce,True,1,UKAccount,email217106,ip237438,card97006,1
217902,GB,visadebit,475130.0,6835.0,GBP,GB,Ecommerce,True,1,UKAccount,email61637,ip266752,card80090,1
149943,SE,mcdebit,554501.0,100100.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email167964,ip126515,card34240,1
126989,GB,visadebit,492181.0,3080.0,GBP,GB,Ecommerce,True,1,UKAccount,email96584,ip143857,card78650,1
11660,SE,visadebit,453903.0,28900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email289975,ip108067,card182444,1
46570,SE,visadebit,491889.0,95000.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email7117,ip180472,card163643,1
147664,GB,mccredit,542011.0,6770.0,GBP,GB,Ecommerce,True,1,UKAccount,email100356,ip190001,card146609,1
115389,GB,visadebit,446238.0,15000.0,GBP,GB,Ecommerce,True,1,UKAccount,email68056,ip333335,card131501,1
179464,GB,mccredit,518652.0,4595.0,GBP,GB,Ecommerce,True,1,UKAccount,email259696,ip17045,card141025,1
90725,GB,visadebit,465922.0,5920.0,GBP,GB,Ecommerce,True,1,UKAccount,email267579,ip274135,card79443,1
78373,GB,visadebit,446274.0,2395.0,GBP,GB,Ecommerce,True,1,UKAccount,email27355,ip259731,card264095,1
161436,GB,visadebit,475129.0,4520.0,GBP,GB,Ecommerce,True,1,UKAccount,email313217,ip124157,card168651,1
52695,MX,mcdebit,525678.0,129900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email85678,ip82678,card209627,1
61723,MX,visaplatinum,410181.0,199900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email51878,ip76956,card148151,1
125176,GB,visadebit,465858.0,4645.0,GBP,GB,Ecommerce,True,1,UKAccount,email190410,ip221712,card55076,1
88693,GB,visadebit,475714.0,10965.0,GBP,GB,Ecommerce,True,1,UKAccount,email135325,ip285855,card160541,1
49758,GB,visadebit,465944.0,4895.0,GBP,GB,Ecommerce,True,1,UKAccount,email334673,ip216867,card259104,1
43183,SE,mcdebit,554501.0,114000.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email97385,ip162814,card35808,1
157684,GB,visaplatinum,492910.0,7500.0,GBP,GB,Ecommerce,True,1,UKAccount,email140724,ip239931,card172780,1
128168,GB,visadebit,446291.0,4435.0,GBP,GB,Ecommerce,True,1,UKAccount,email220615,ip289747,card228819,1
25012,AU,mccredit,532655.0,8000.0,AUD,AU,Ecommerce,True,0,APACAccount,email323977,ip29450,card222812,1
227170,GB,visadebit,476223.0,1275.0,GBP,GB,Ecommerce,True,1,UKAccount,email341397,ip134634,card74976,1
15073,GB,visadebit,465902.0,3195.0,GBP,GB,Ecommerce,True,1,UKAccount,email226596,ip323094,card202000,1
94208,GB,visadebit,475129.0,8400.0,GBP,GB,Ecommerce,True,1,UKAccount,email311080,ip318728,card113646,1
159226,GB,visaclassic,455206.0,19144.0,GBP,GB,Ecommerce,True,1,UKAccount,email43707,ip341874,card69101,1
81271,GB,visadebit,492181.0,4595.0,GBP,GB,Ecommerce,True,1,UKAccount,email2719,ip17122,card68317,1
185099,GB,visadebit,475714.0,4645.0,GBP,GB,Ecommerce,True,1,UKAccount,email339699,ip47125,card116326,1
53057,GB,visadebit,475129.0,3895.0,GBP,GB,Ecommerce,True,1,UKAccount,email168163,ip154038,card57789,1
125122,GB,visadebit,465859.0,3100.0,GBP,GB,Ecommerce,True,1,UKAccount,email252448,ip182713,card55334,1
63752,GB,visaplatinum,492942.0,6895.0,GBP,GB,Ecommerce,True,1,UKAccount,email169838,ip11090,card86910,1
200952,GB,visadebit,454742.0,11650.0,GBP,GB,Ecommerce,True,1,UKAccount,email191611,ip309751,card119395,1
212288,GB,visadebit,465942.0,4000.0,GBP,GB,Ecommerce,True,1,UKAccount,email14153,ip190710,card105940,1
85190,GB,visadebit,456735.0,5339.0,GBP,GB,Ecommerce,True,1,UKAccount,email101622,ip100248,card163375,1
71678,GB,visadebit,465944.0,5675.0,GBP,GB,Ecommerce,True,1,UKAccount,email314980,ip270606,card130412,1
134705,GB,visadebit,465858.0,5295.0,GBP,GB,Ecommerce,True,1,UKAccount,email86448,ip281910,card96551,1
107647,GB,visadebit,446238.0,5895.0,GBP,GB,Ecommerce,True,1,UKAccount,email121151,ip214063,card104226,1
39656,AU,visaclassic,456471.0,8850.0,AUD,AU,Ecommerce,True,0,APACAccount,email113822,ip18217,card207588,1
148931,GB,visadebit,454742.0,2430.0,GBP,GB,Ecommerce,True,1,UKAccount,email328105,ip224108,card117683,1
209930,GB,mccredit,518675.0,5395.0,GBP,GB,Ecommerce,True,1,UKAccount,email329029,ip73109,card64366,1
32647,MX,mccredit,528804.0,76415.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email105538,ip66996,card194304,1
126400,GB,visadebit,465858.0,11950.0,GBP,GB,Ecommerce,True,1,UKAccount,email64666,ip128622,card117395,1
87882,GB,visagold,492940.0,11000.0,GBP,GB,ContAuth,False,0,UKAccount,email239202,ip253659,card41263,1
153634,GB,visadebit,465923.0,13400.0,GBP,GB,Ecommerce,True,1,UKAccount,email171628,ip224187,card55669,1
6937,GB,visadebit,476248.0,4500.0,GBP,GB,ContAuth,False,0,UKAccount,email126174,ip351185,card7225,1
189405,SE,visadebit,455262.0,27400.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email345649,ip227737,card151462,1
141163,GB,visaclassic,450906.0,5580.0,GBP,GB,Ecommerce,True,1,UKAccount,email35201,ip208926,card118793,1
17938,AU,visadebit,462239.0,19500.0,AUD,AU,Ecommerce,True,0,APACAccount,email92175,ip26938,card220358,1
92054,GB,visadebit,475110.0,3095.0,GBP,GB,Ecommerce,True,1,UKAccount,email182833,ip231060,card243679,1
12739,GB,visadebit,484431.0,3195.0,GBP,GB,Ecommerce,True,1,UKAccount,email124957,ip337450,card142334,1
191160,GB,visadebit,475117.0,2100.0,GBP,GB,Ecommerce,True,1,UKAccount,email82457,ip42949,card83866,1
214471,MX,mccredit,549138.0,199900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email221470,ip64401,card180507,1
67905,GB,visadebit,465945.0,4695.0,GBP,GB,Ecommerce,True,1,UKAccount,email79128,ip235273,card70059,1
131409,MX,visagold,493173.0,29900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email91962,ip76931,card239031,1
20654,GB,visadebit,492181.0,2645.0,GBP,GB,Ecommerce,True,1,UKAccount,email667,ip179996,card79217,1
225036,GB,visadebit,475128.0,9895.0,GBP,GB,Ecommerce,True,1,UKAccount,email259759,ip43107,card118310,1
77763,GB,visadebit,476223.0,5695.0,GBP,GB,Ecommerce,True,1,UKAccount,email47075,ip123891,card161208,1
74813,SE,visadebit,453903.0,236000.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email22072,ip121519,card215438,1
118935,GB,mccredit,556951.0,6895.0,GBP,GB,ContAuth,False,0,UKAccount,email215327,ip334484,card124850,1
111325,GB,visadebit,465902.0,4395.0,GBP,GB,Ecommerce,True,1,UKAccount,email133286,ip89262,card73516,1
84641,AU,mccredit,535316.0,12000.0,AUD,AU,Ecommerce,True,0,APACAccount,email60147,ip33145,card50561,1
234709,GB,visadebit,446291.0,8500.0,GBP,GB,Ecommerce,True,1,UKAccount,email37203,ip326335,card72728,1
157267,GB,visadebit,465922.0,4395.0,GBP,GB,Ecommerce,True,1,UKAccount,email93864,ip323462,card77243,1
92484,AU,visadebit,462239.0,9350.0,AUD,AU,Ecommerce,True,0,APACAccount,email1681,ip17734,card266623,1
213565,GB,visadebit,476367.0,6395.0,GBP,GB,Ecommerce,True,1,UKAccount,email21829,ip170995,card108138,1
31575,GB,mccredit,552188.0,7407.0,GBP,GB,Ecommerce,True,1,UKAccount,email37623,ip294629,card81655,1
228316,GB,visaplatinum,412985.0,3745.0,GBP,GB,Ecommerce,True,1,UKAccount,email162613,ip278160,card249150,1
207964,GB,visadebit,475127.0,6030.0,GBP,GB,Ecommerce,True,1,UKAccount,email91398,ip282962,card99057,1
9278,GB,visadebit,446291.0,6700.0,GBP,GB,Ecommerce,True,1,UKAccount,email257968,ip128443,card47418,1
151260,GB,mccredit,552085.0,10500.0,GBP,GB,Ecommerce,True,1,UKAccount,email49859,ip139056,card177739,1
98332,GB,visadebit,446292.0,1845.0,GBP,GB,Ecommerce,True,1,UKAccount,email149270,ip57942,card168541,1
96982,GB,visadebit,465943.0,6395.0,GBP,GB,Ecommerce,True,1,UKAccount,email129911,ip123679,card186693,1
11899,GB,mccredit,528689.0,5195.0,GBP,GB,Ecommerce,True,1,UKAccount,email142475,ip303931,card51001,1
37397,GB,visaplatinum,492942.0,12000.0,GBP,GB,Ecommerce,True,1,UKAccount,email274230,ip85659,card256457,1
3573,MX,mccredit,547046.0,961600.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email289953,ip68368,card65948,1
12516,AU,mccredit,521729.0,21000.0,AUD,AU,Ecommerce,True,0,APACAccount,email2862,ip159921,card254021,1
134220,MX,mccredit,549949.0,246415.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email333991,ip64864,card81139,1
106144,SE,visadebit,457241.0,60900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email163076,ip234532,card203886,1
66212,GB,visadebit,492181.0,5900.0,GBP,GB,ContAuth,False,0,UKAccount,email236409,ip184876,card85020,1
57414,GB,mccredit,518652.0,2975.0,GBP,GB,Ecommerce,,1,UKAccount,email112330,ip16324,card54036,1
81366,GB,visadebit,492181.0,3750.0,GBP,GB,Ecommerce,,1,UKAccount,email49851,ip343725,card149315,1
96030,GB,visadebit,454313.0,2200.0,GBP,GB,Ecommerce,,1,UKAccount,email251267,ip247765,card175468,1
94008,AU,mccredit,521729.0,22250.0,GBP,AU,Ecommerce,True,1,UKAccount,email226751,ip158532,card128017,1
196753,GB,visadebit,476367.0,6345.0,GBP,GB,Ecommerce,True,1,UKAccount,email166321,ip298731,card142531,1
113704,GB,mccredit,528683.0,6310.0,GBP,GB,Ecommerce,True,1,UKAccount,email150750,ip251597,card22357,1
62408,GB,visadebit,465858.0,13700.0,GBP,GB,Ecommerce,True,1,UKAccount,email41868,ip239073,card216806,1
42837,GB,visadebit,465858.0,3000.0,GBP,GB,Ecommerce,True,1,UKAccount,email104061,ip208559,card87448,1
65988,GB,visadebit,492181.0,6000.0,GBP,GB,Ecommerce,,1,UKAccount,email122549,ip235007,card71543,1
162584,MX,visaclassic,477291.0,314800.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email187281,ip81217,card180276,1
21656,GB,visadebit,492181.0,11525.0,GBP,GB,Ecommerce,True,1,UKAccount,email317116,ip87427,card153762,1
166418,GB,visadebit,446291.0,5095.0,GBP,GB,Ecommerce,True,1,UKAccount,email332694,ip73235,card168525,1
89674,GB,visadebit,475714.0,5695.0,GBP,GB,Ecommerce,True,1,UKAccount,email152823,ip305107,card57726,1
113186,GB,visadebit,454313.0,6525.0,GBP,GB,Ecommerce,,1,UKAccount,email208439,ip123585,card78947,1
48176,GB,visadebit,465901.0,4875.0,GBP,GB,Ecommerce,True,1,UKAccount,email113166,ip141744,card71356,1
55413,GB,mccredit,552188.0,6090.0,GBP,GB,Ecommerce,True,1,UKAccount,email301041,ip350922,card165656,1
176071,NZ,mccredit,542764.0,7150.0,NZD,NZ,Ecommerce,True,0,APACAccount,email345206,ip21040,card176158,1
228993,SE,mccredit,541256.0,343500.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email74360,ip124921,card214672,1
76394,GB,visadebit,446238.0,8895.0,GBP,GB,Ecommerce,True,1,UKAccount,email171071,ip307637,card36873,1
36034,GB,visadebit,453979.0,2195.0,GBP,GB,Ecommerce,True,1,UKAccount,email35388,ip58730,card7431,1
197835,GB,mccredit,525303.0,5395.0,GBP,GB,Ecommerce,True,1,UKAccount,email233260,ip226253,card111194,1
87579,GB,mccredit,518652.0,5850.0,GBP,GB,Ecommerce,True,1,UKAccount,email257278,ip276245,card100002,1
32195,GB,visadebit,465941.0,8500.0,GBP,GB,Ecommerce,True,1,UKAccount,email28812,ip258907,card166500,1
174526,GB,visadebit,475142.0,765.0,GBP,GB,Ecommerce,,1,UKAccount,email222140,ip290373,card101062,1
79073,GB,visadebit,475142.0,2195.0,GBP,GB,Ecommerce,True,1,UKAccount,email39236,ip119159,card132771,1
72632,AU,mccredit,521729.0,11050.0,AUD,AU,Ecommerce,True,0,APACAccount,email187741,ip19227,card188161,1
82504,GB,visadebit,465858.0,7420.0,GBP,GB,Ecommerce,True,1,UKAccount,email23534,ip212536,card197240,1
117530,GB,mccredit,552213.0,2250.0,GBP,GB,Ecommerce,,1,UKAccount,email250267,ip186113,card131400,1
37931,AU,visadebit,486270.0,5850.0,AUD,AU,Ecommerce,True,0,APACAccount,email33248,ip24900,card52836,1
124503,MX,mcdebit,525678.0,161415.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email164637,ip76469,card105196,1
30984,MX,mccredit,549138.0,110700.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email333151,ip81821,card11946,1
120114,GB,visadebit,475117.0,4400.0,GBP,GB,Ecommerce,True,1,UKAccount,email41521,ip241601,card240705,1
82546,GB,visadebit,454742.0,5700.0,GBP,GB,Ecommerce,True,1,UKAccount,email276062,ip163938,card163938,1
33725,GB,mccredit,542011.0,5019.0,GBP,GB,Ecommerce,True,1,UKAccount,email104504,ip225263,card64992,1
156040,GB,visadebit,492181.0,5500.0,GBP,GB,Ecommerce,True,1,UKAccount,email240249,ip150548,card49952,1
42781,GB,visadebit,475117.0,7500.0,GBP,GB,Ecommerce,True,1,UKAccount,email222585,ip330577,card98807,1
33078,SE,visadebit,453903.0,80400.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email109340,ip342879,card213893,1
99030,CN,mccredit,512732.0,8395.0,GBP,GB,Ecommerce,True,1,UKAccount,email3033,ip142146,card159990,1
231763,AU,mccredit,516319.0,11050.0,AUD,AU,Ecommerce,True,0,APACAccount,email184967,ip20143,card222854,1
110497,MX,mccredit,528843.0,48900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email289314,ip84466,card147287,1
230856,GB,visaclassic,454638.0,6385.0,GBP,GB,Ecommerce,True,1,UKAccount,email263844,ip160781,card231951,1
168910,SE,mcdebit,522660.0,81400.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email259667,ip202088,card217978,1
220176,GB,visadebit,465946.0,3895.0,GBP,GB,ContAuth,False,0,UKAccount,email179667,ip89435,card145476,1
36920,MX,visaclassic,405306.0,250495.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email25907,ip41966,card228594,1
206800,GB,visaclassic,492914.0,2945.0,GBP,GB,Ecommerce,True,1,UKAccount,email177510,ip133521,card109389,1
98506,GB,visadebit,492181.0,1895.0,GBP,GB,Ecommerce,True,1,UKAccount,email72058,ip8399,card29405,1
215619,AU,mccredit,521729.0,5850.0,AUD,AU,Ecommerce,True,0,APACAccount,email329276,ip145227,card244119,1
224153,GB,mcdebit,557349.0,4000.0,GBP,GB,Ecommerce,True,1,UKAccount,email6284,ip310983,card4849,1
130200,GB,visadebit,492181.0,9195.0,GBP,GB,Ecommerce,True,1,UKAccount,email328650,ip150495,card258206,1
234748,GB,visadebit,476365.0,800.0,GBP,GB,Ecommerce,True,1,UKAccount,email158438,ip102976,card51520,1
8695,GB,visadebit,492181.0,3100.0,GBP,GB,Ecommerce,True,1,UKAccount,email114246,ip318963,card75854,1
85289,GB,visadebit,475128.0,5070.0,GBP,GB,Ecommerce,True,1,UKAccount,email293040,ip184232,card98121,1
59646,GB,visadebit,465859.0,3000.0,GBP,GB,Ecommerce,,1,UKAccount,email181350,ip57490,card53630,1
102663,SE,visadebit,453904.0,52900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email301957,ip142024,card51573,1
29479,SE,mcdebit,554501.0,24900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email260374,ip352195,card244445,1
7141,GB,visadebit,454742.0,8075.0,GBP,GB,Ecommerce,True,1,UKAccount,email203108,ip299404,card177358,1
225411,SE,visadebit,453903.0,140000.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email41122,ip183893,card15109,1
109641,GB,visadebit,475139.0,7095.0,GBP,GB,Ecommerce,True,1,UKAccount,email109249,ip137651,card204397,1
118744,SE,mcdebit,554501.0,79900.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email228692,ip118461,card52778,1
47270,GB,visadebit,475128.0,25195.0,GBP,GB,Ecommerce,True,1,UKAccount,email233744,ip317115,card212949,1
129710,GB,visadebit,475714.0,2195.0,GBP,GB,Ecommerce,True,1,UKAccount,email190667,ip46375,card239595,1
68738,GB,visa,489396.0,10300.0,GBP,GB,Ecommerce,True,1,UKAccount,email112602,ip123565,card251546,1
228206,GB,visadebit,475128.0,7440.0,GBP,GB,Ecommerce,True,1,UKAccount,email115420,ip102079,card210912,1
220760,GB,visadebit,465944.0,4895.0,GBP,GB,Ecommerce,True,1,UKAccount,email172530,ip266188,card117420,1
198186,GB,visaplatinum,492910.0,8460.0,GBP,GB,Ecommerce,True,1,UKAccount,email336575,ip74531,card14249,1
80271,GB,visaplatinum,492913.0,4145.0,GBP,GB,Ecommerce,True,1,UKAccount,email237481,ip72713,card182234,1
144846,GB,visadebit,492181.0,2635.0,GBP,GB,Ecommerce,True,1,UKAccount,email36556,ip284968,card81908,1
